SNR,TS=30,TS=60,TS=90,TS=120,TS=150
10.0,0.23,0.165,0.13,0.13,0.12
11.0,0.19,0.13,0.1,0.095,0.08
12.0,0.175,0.1,0.075,0.055,0.045
13.0,0.145,0.065,0.04,0.025,0.02
14.0,0.14,0.04,0.03,0.015,0.02
15.0,0.12,0.015,0.01,0.005,0.01
16.0,0.115,0.01,0.005,0.005,0.005
17.0,0.11,0.01,0.0,0.005,0.005
18.0,0.105,0.005,0.0,0.005,0.0
19.0,0.1,0.0,0.0,0.0,0.0
20.0,0.08,0.0,0.0,0.0,0.0
21.0,0.075,0.0,0.0,0.0,0.0
22.0,0.07,0.0,0.0,0.0,0.0
23.0,0.065,0.0,0.0,0.0,0.0
24.0,0.04,0.0,0.0,0.0,0.0
25.0,0.04,0.0,0.0,0.0,0.0
26.0,0.025,0.0,0.0,0.0,0.0
27.0,0.015,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0
42.0,0.005,0.0,0.0,0.0,0.0
43.0,0.005,0.0,0.0,0.0,0.0
44.0,0.005,0.0,0.0,0.0,0.0
45.0,0.005,0.0,0.0,0.0,0.0
46.0,0.005,0.0,0.0,0.0,0.0
47.0,0.005,0.0,0.0,0.0,0.0
48.0,0.005,0.0,0.0,0.0,0.0
49.0,0.005,0.0,0.0,0.0,0.0
50.0,0.005,0.0,0.0,0.0,0.0
